state,district,soil_type,nitrogen,phosphorus,potassium,ph_level,rainfall_mm,temperature_c,crop,season,yield_q_acre,cost_per_acre,mandi_price_per_q,peak_selling_month,peak_selling_window,weather_risk
Uttarakhand,Haridwar,Clay,80,38,33,7.1,1124.0,26.7,Mustard,Rabi,5.8,4444.0,5905.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,81,54,30,6.7,896.4,22.0,Mustard,Rabi,5.9,4518.0,5381.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,72,40,40,7.3,744.0,27.0,Mustard,Rabi,6.7,4033.0,5394.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,76,33,33,7.2,1050.0,24.5,Mustard,Rabi,6.8,4018.0,5775.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,89,43,38,6.6,1020.0,23.5,Mustard,Rabi,7.5,4384.0,5782.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,89,44,19,6.8,672.6,21.1,Mustard,Rabi,9.0,4375.0,5348.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,73,42,42,6.7,874.0,25.0,Mustard,Rabi,7.4,4291.0,6041.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,85,44,40,6.7,963.8,25.2,Mustard,Rabi,6.9,4495.0,5744.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,78,36,37,6.7,811.4,22.9,Mustard,Rabi,8.2,4219.0,5565.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,94,33,57,6.9,962.9,24.2,Mustard,Rabi,6.4,4075.0,5997.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,115,20,52,6.7,1024.5,22.1,Mustard,Rabi,6.6,4236.0,5561.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,68,37,67,6.4,1072.9,23.3,Mustard,Rabi,6.3,4361.0,5496.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,63,33,33,6.4,937.7,24.3,Mustard,Rabi,6.0,4530.0,5584.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,87,47,48,7.0,955.9,24.1,Mustard,Rabi,6.2,4519.0,5834.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,76,43,41,7.0,999.5,24.4,Mustard,Rabi,4.1,4202.0,5907.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,106,34,31,6.8,928.4,23.7,Mustard,Rabi,7.4,4050.0,5283.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Clay,83,51,41,6.8,918.8,25.7,Mustard,Rabi,5.4,4224.0,5929.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,95,45,34,6.9,1070.1,26.0,Mustard,Rabi,8.5,4111.0,5333.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,92,24,41,6.9,1179.8,21.3,Mustard,Rabi,7.2,4194.0,6026.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Alluvial,51,57,60,6.7,967.9,25.4,Mustard,Rabi,6.0,4241.0,5688.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,59,40,43,6.6,1190.2,24.6,Mustard,Rabi,7.2,4298.0,5807.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,94,46,30,7.0,1006.2,23.0,Mustard,Rabi,5.6,4433.0,5575.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Sandy Loam,109,39,27,7.5,1094.8,23.4,Mustard,Rabi,6.6,4255.0,5376.0,March,March 12–25,Medium
Uttarakhand,Haridwar,Loamy,68,40,28,6.4,881.2,21.9,Mustard,Rabi,8.9,4513.0,5339.0,March,March 12–25,Medium
