rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,zone_id
5.6,80.9,140.2,54.8,4.12,0.46,1.99,95.60000000000001,1.24,14,1,51.2,ZONE-09
2.0,6.2,8.9,120.7,4.57,0.41000000000000003,1.9400000000000002,92.60000000000001,1.22,14,0,0.0,ZONE-09
11.0,41.8,42.7,210.2,8.27,1.24,3.1700000000000004,78.10000000000001,2.46,5,0,0.0,ZONE-08
21.4,27.4,36.4,12.2,2.31,0.22999999999999998,1.3699999999999999,87.2,0.34,18,1,56.6,ZONE-14
4.4,23.0,48.4,20.7,4.17,0.42,2.24,94.8,1.26,14,0,0.0,ZONE-09
11.4,15.2,30.7,27.4,4.13,0.7899999999999999,2.5500000000000003,93.8,0.8700000000000001,8,0,0.0,ZONE-05
7.3,45.7,55.7,43.3,3.86,0.64,1.82,87.4,0.46,13,0,0.0,ZONE-10
10.8,12.0,54.1,11.2,4.78,0.5700000000000001,2.0500000000000003,93.9,1.27,14,0,0.0,ZONE-09
0.8,75.1,226.8,99.1,3.1,0.34,2.71,84.6,0.23,11,1,77.3,ZONE-13
4.4,7.0,58.9,34.8,3.23,0.35000000000000003,2.78,80.6,0.29000000000000004,11,0,0.0,ZONE-13
1.6,18.7,20.3,144.0,8.25,1.27,3.31,76.80000000000001,2.41,5,0,0.0,ZONE-08
3.6,30.8,47.6,44.0,3.7199999999999998,0.51,2.17,89.4,0.54,13,0,0.0,ZONE-10
9.5,14.6,171.8,89.5,8.219999999999999,1.18,3.37,78.2,2.45,5,0,0.0,ZONE-08
33.7,90.0,131.0,153.0,8.299999999999999,1.21,3.3000000000000003,78.0,2.52,5,0,0.0,ZONE-08
1.1,6.6,8.7,23.6,3.5799999999999996,0.7,2.0,86.5,0.41000000000000003,13,0,0.0,ZONE-10
5.9,13.8,93.2,26.5,4.22,0.43,2.17,94.8,1.18,14,0,0.0,ZONE-09
