state,district,isro_atlas_rank,geographic_region,lithology,elevation_m,slope_deg,soil_thickness_m,soil_saturation_pct,vegetation_ndvi,rainfall_1h_mm,rainfall_24h_mm,previous_7d_rainfall_mm,landslide_probability,landslide_occurred,data_source
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1801.0,45.6,2.2,37.0,0.67,8.6,48.8,142.7,0.9794,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2066.0,55.3,2.2,29.8,0.31,8.4,33.5,123.4,0.9931,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1772.0,36.9,2.0,28.6,0.44,4.3,27.3,114.5,0.8517,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1819.0,35.1,2.9,42.0,0.71,8.8,26.2,125.2,0.8809,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1989.0,39.2,1.9,29.4,0.83,3.9,16.7,69.5,0.6299,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1754.0,50.0,3.0,44.1,0.45,11.6,59.9,183.4,0.998,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1582.0,36.6,2.5,30.6,0.44,3.0,11.2,56.8,0.7183,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1463.0,54.0,1.4,99.0,0.26,86.5,287.6,1034.6,1.0,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1918.0,31.7,3.1,18.1,0.56,0.3,1.0,5.3,0.28,0,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1854.0,40.5,1.3,66.0,0.61,13.0,69.2,327.1,0.9977,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1855.0,46.8,2.0,40.7,0.68,10.9,40.2,157.8,0.982,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,2008.0,42.3,3.6,53.4,0.37,14.9,62.8,340.1,0.9993,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1905.0,45.8,0.9,26.9,0.81,2.7,15.3,76.1,0.7095,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1390.0,40.1,2.4,19.9,0.45,0.5,2.6,10.7,0.561,1,ISRO NRSC Landslide Atlas of India (2023)
Uttarakhand,Rudraprayag,1,Northwest Himalayas,Schist & Gneiss,1909.0,47.8,2.6,25.1,0.35,3.4,11.1,38.1,0.9086,1,ISRO NRSC Landslide Atlas of India (2023)
