landslide_id,latitude,longitude,date,state,district,rainfall_24h,rainfall_3day,rainfall_7day,rainfall_30day,elevation,slope,aspect,curvature,land_cover,soil_type,geology,historical_landslide_density,landslide,data_source
LS-NER-10001,27.4745,88.8556,2024-07-08,Sikkim,Gangtok (East),60.0,265.3,696.1,976.5,2428.0,39.2,234.3,-0.73,Built-up Settlement,Red Sandy Soil,Phyllite & Schist,9.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10002,27.7175,88.5505,2020-09-12,Sikkim,Gangtok (East),76.7,292.6,516.5,1084.5,2163.0,42.4,131.9,-0.702,Barren Slope,Clay Loam,Phyllite & Schist,7.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10003,27.9599,88.6123,2021-05-07,Sikkim,Gangtok (East),60.0,296.8,537.3,1188.3,2189.0,41.6,178.3,-0.732,Built-up Settlement,Sandy Loam,Phyllite & Schist,9.4,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10004,27.6677,88.0282,2023-06-26,Sikkim,Gangtok (East),60.0,209.3,453.3,1197.4,2148.0,43.4,16.3,-0.738,Barren Slope,Sandy Loam,Phyllite & Schist,13.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10005,27.3809,88.4884,2024-05-15,Sikkim,Gangtok (East),60.0,204.2,404.6,1167.9,2122.0,41.3,277.7,-0.796,Agriculture,Red Sandy Soil,Phyllite & Schist,15.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10006,27.1954,88.3337,2024-10-24,Sikkim,Gangtok (East),157.4,369.2,694.4,1406.1,2163.0,47.7,43.1,-0.179,Built-up Settlement,Lateritic Soil,Phyllite & Schist,16.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10007,27.8107,88.0998,2022-08-13,Sikkim,Gangtok (East),177.5,299.9,489.5,931.8,1940.0,44.3,147.7,-0.58,Built-up Settlement,Red Sandy Soil,Phyllite & Schist,11.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10008,27.7244,88.2661,2023-09-06,Sikkim,Gangtok (East),285.3,422.7,621.5,1029.1,1894.0,45.4,290.7,-0.175,Built-up Settlement,Clay Loam,Phyllite & Schist,14.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10009,27.4526,88.2743,2022-10-08,Sikkim,Gangtok (East),153.0,298.1,738.2,1557.2,1916.0,38.3,186.8,-0.716,Barren Slope,Sandy Loam,Phyllite & Schist,12.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10010,27.4009,88.2564,2020-05-27,Sikkim,Gangtok (East),143.8,317.0,610.4,1200.0,1987.0,45.6,228.4,-0.777,Barren Slope,Red Sandy Soil,Phyllite & Schist,13.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10011,27.4697,88.2179,2024-10-24,Sikkim,Gangtok (East),60.0,243.3,601.0,890.3,2278.0,49.6,67.1,-0.425,Barren Slope,Lateritic Soil,Phyllite & Schist,11.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10012,27.4487,88.0866,2021-05-01,Sikkim,Gangtok (East),149.9,272.3,489.3,1319.3,2096.0,47.7,194.9,-0.285,Barren Slope,Red Sandy Soil,Phyllite & Schist,15.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10013,27.3608,88.8966,2024-10-12,Sikkim,Gangtok (East),190.7,382.6,574.2,944.7,2156.0,45.0,319.4,-0.563,Barren Slope,Red Sandy Soil,Phyllite & Schist,14.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10014,27.4723,88.8461,2025-05-18,Sikkim,Gangtok (East),60.0,198.7,575.7,1219.5,2373.0,45.2,256.4,-0.344,Barren Slope,Lateritic Soil,Phyllite & Schist,13.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10015,27.4081,88.4883,2025-07-19,Sikkim,Gangtok (East),88.0,268.9,574.8,964.1,1837.0,40.4,286.1,-0.119,Barren Slope,Alluvial Soil,Phyllite & Schist,13.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10016,27.672,88.6917,2023-05-12,Sikkim,Gangtok (East),60.0,236.9,565.1,1394.1,1643.0,47.3,343.1,-0.182,Agriculture,Red Sandy Soil,Phyllite & Schist,11.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10017,27.4851,88.766,2020-07-18,Sikkim,Gangtok (East),60.0,193.6,451.9,1207.2,1933.0,48.4,129.1,-0.149,Barren Slope,Clay Loam,Phyllite & Schist,14.4,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10018,27.8089,88.4975,2021-06-23,Sikkim,Gangtok (East),201.7,394.9,759.5,1485.1,2061.0,39.7,180.5,-0.161,Built-up Settlement,Red Sandy Soil,Phyllite & Schist,13.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10019,27.438,88.338,2025-06-23,Sikkim,Gangtok (East),60.0,234.2,493.7,1237.3,1909.0,40.3,14.0,-0.113,Agriculture,Red Sandy Soil,Phyllite & Schist,11.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10020,28.0653,88.4115,2023-10-13,Sikkim,Gangtok (East),158.0,248.9,528.6,1051.4,2333.0,46.4,349.0,-0.703,Barren Slope,Sandy Loam,Phyllite & Schist,10.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10021,27.1254,88.8664,2024-05-12,Sikkim,Gangtok (East),134.9,292.1,664.5,971.2,1931.0,37.8,186.0,-0.734,Barren Slope,Sandy Loam,Phyllite & Schist,13.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10022,27.8578,88.013,2020-10-05,Sikkim,Gangtok (East),60.0,303.5,719.8,1145.9,2140.0,46.3,233.9,-0.558,Built-up Settlement,Sandy Loam,Phyllite & Schist,14.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10023,28.0334,88.4509,2023-09-13,Sikkim,Gangtok (East),107.3,212.9,608.0,1347.6,2030.0,46.3,243.8,-0.139,Agriculture,Red Sandy Soil,Phyllite & Schist,16.0,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10024,27.9204,88.5863,2024-07-12,Sikkim,Gangtok (East),212.3,343.7,544.8,1215.0,1903.0,46.1,8.4,-0.577,Agriculture,Alluvial Soil,Phyllite & Schist,13.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10025,27.9775,88.6616,2023-09-25,Sikkim,Gangtok (East),60.0,300.4,708.8,1229.0,1858.0,46.2,279.5,-0.235,Open Forest,Alluvial Soil,Phyllite & Schist,7.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10026,27.3382,88.34,2020-05-20,Sikkim,Gangtok (East),60.0,197.6,631.6,1443.9,2136.0,39.1,325.9,-0.528,Barren Slope,Lateritic Soil,Phyllite & Schist,11.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10027,27.7318,88.4036,2020-07-12,Sikkim,Gangtok (East),146.8,371.4,782.1,1531.6,2054.0,38.2,348.7,-0.138,Agriculture,Alluvial Soil,Phyllite & Schist,17.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10028,27.4967,88.8027,2024-06-05,Sikkim,Gangtok (East),176.4,323.6,515.0,1230.2,1710.0,45.6,355.0,-0.231,Open Forest,Lateritic Soil,Phyllite & Schist,8.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10029,28.0064,88.1001,2024-07-13,Sikkim,Gangtok (East),60.0,211.2,513.0,839.4,1617.0,49.8,245.2,-0.281,Agriculture,Clay Loam,Phyllite & Schist,14.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10030,28.0632,88.0109,2024-09-15,Sikkim,Gangtok (East),60.0,193.5,640.3,1310.6,1966.0,46.9,59.8,-0.313,Barren Slope,Lateritic Soil,Phyllite & Schist,13.4,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10031,28.0153,88.8628,2023-10-12,Sikkim,Gangtok (East),60.0,220.1,397.1,833.8,1902.0,40.1,129.7,-0.347,Barren Slope,Alluvial Soil,Phyllite & Schist,10.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10032,27.7028,88.2439,2022-09-14,Sikkim,Gangtok (East),60.0,148.4,421.8,1155.7,2148.0,40.5,311.8,-0.507,Open Forest,Clay Loam,Phyllite & Schist,16.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10033,27.6941,88.3428,2022-10-27,Sikkim,Gangtok (East),307.9,490.2,861.5,1565.5,2022.0,41.2,270.0,-0.774,Barren Slope,Lateritic Soil,Phyllite & Schist,13.5,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10034,27.3411,88.1845,2024-05-19,Sikkim,Gangtok (East),60.0,256.8,570.5,1283.0,1726.0,51.6,128.9,-0.33,Built-up Settlement,Lateritic Soil,Phyllite & Schist,14.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10035,27.9522,88.4967,2020-09-27,Sikkim,Gangtok (East),121.0,369.7,708.0,1344.5,2508.0,41.7,325.1,-0.506,Agriculture,Lateritic Soil,Phyllite & Schist,15.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10036,28.0042,88.3134,2023-10-01,Sikkim,Gangtok (East),232.6,445.8,632.3,938.0,2044.0,46.1,165.4,-0.312,Agriculture,Alluvial Soil,Phyllite & Schist,6.8,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10037,27.4288,88.5701,2020-07-19,Sikkim,Gangtok (East),261.3,431.9,872.4,1489.5,1780.0,53.4,148.2,-0.52,Built-up Settlement,Lateritic Soil,Phyllite & Schist,14.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10038,27.9218,88.3106,2024-06-22,Sikkim,Gangtok (East),60.0,198.0,391.8,941.2,2337.0,40.4,46.3,-0.551,Agriculture,Lateritic Soil,Phyllite & Schist,19.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10039,27.1026,88.7815,2024-05-03,Sikkim,Gangtok (East),60.0,168.8,374.1,1038.9,2063.0,44.1,259.4,-0.153,Barren Slope,Lateritic Soil,Phyllite & Schist,13.1,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10040,27.2072,88.4027,2020-07-19,Sikkim,Gangtok (East),96.6,219.8,483.8,1029.2,1846.0,50.4,32.1,-0.405,Agriculture,Sandy Loam,Phyllite & Schist,14.2,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10041,27.7488,88.4316,2025-08-15,Sikkim,Gangtok (East),106.6,250.4,694.6,1313.8,2108.0,50.1,232.5,-0.498,Barren Slope,Clay Loam,Phyllite & Schist,9.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10042,27.2018,88.1376,2025-08-11,Sikkim,Gangtok (East),66.6,315.6,515.0,1017.8,1834.0,38.5,188.8,-0.172,Barren Slope,Red Sandy Soil,Phyllite & Schist,10.9,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10043,27.9655,88.7354,2025-05-24,Sikkim,Gangtok (East),60.0,215.5,525.6,941.3,2042.0,46.1,67.3,-0.41,Built-up Settlement,Clay Loam,Phyllite & Schist,15.3,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10044,27.8678,88.0786,2023-10-11,Sikkim,Gangtok (East),100.3,218.2,577.9,907.1,2176.0,41.0,197.5,-0.542,Built-up Settlement,Alluvial Soil,Phyllite & Schist,7.4,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
LS-NER-10045,27.8602,88.5361,2022-10-23,Sikkim,Gangtok (East),60.0,155.2,530.7,1132.4,1959.0,46.3,337.8,-0.219,Open Forest,Alluvial Soil,Phyllite & Schist,13.6,1,GSI Bhusanket (Field Validated) + ISRO NDEM + NASA SRTM + IMD Rainfall
