location,zone_id,ward,rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,data_source
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,55.5,189.4,495.0,259.9,52.29,0.31,1.32,92.4,0.11,19,1,78.3,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,56.2,264.1,394.5,274.1,51.8,0.29,1.36,92.7,0.11,19,1,85.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,69.4,213.0,497.3,267.5,51.46,0.37,1.41,92.3,0.09,19,1,79.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,73.8,235.3,476.3,252.2,51.86,0.32,1.29,94.6,0.11,19,1,78.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,58.0,218.5,487.0,255.7,52.0,0.31,1.55,92.8,0.12,19,1,82.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,67.7,191.9,511.8,264.4,51.59,0.3,1.17,92.3,0.1,19,1,83.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,61.3,235.7,514.4,255.6,52.07,0.31,1.32,93.5,0.11,19,1,84.7,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,54.9,224.3,440.5,261.4,51.88,0.33,1.43,94.4,0.1,19,1,81.4,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,64.5,189.5,547.5,271.9,51.85,0.4,1.42,94.5,0.13,19,1,85.5,Northeast India (Brahmaputra River Basin & Assam Telemetry)
Fancy Bazaar / Panbazar,ZONE-NE01,Ward 14,54.4,217.0,451.3,270.9,52.22,0.27,1.41,93.6,0.11,19,1,80.6,Northeast India (Brahmaputra River Basin & Assam Telemetry)
