rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,zone_id
7.0,97.3,163.1,63.9,264.05,0.46,1.49,93.4,0.62,14,1,74.9,ZONE-RK02
2.5,7.6,10.6,140.8,265.18,0.41000000000000003,1.4400000000000002,90.4,0.61,14,1,32.2,ZONE-RK02
13.8,50.7,51.7,245.2,274.84,0.29,1.3099999999999998,67.2,0.23,16,1,66.1,ZONE-HW05
26.8,34.0,44.0,14.2,284.68,0.6299999999999999,3.18,69.0,2.16,7,0,0.0,ZONE-HW03
5.4,27.7,56.0,24.1,264.72,0.47,1.51,89.3,0.6,14,1,39.4,ZONE-RK02
14.2,18.7,36.0,31.9,284.16,0.6599999999999999,3.05,72.3,2.1900000000000004,7,0,0.0,ZONE-HW03
9.1,55.2,66.3,50.5,262.91,0.31000000000000005,1.69,86.7,0.76,15,1,57.4,ZONE-RK04
13.5,14.9,61.7,13.1,264.76,0.49,1.73,90.0,0.59,14,1,38.5,ZONE-RK02
1.0,90.2,258.7,115.7,265.22,0.43,1.6900000000000002,90.0,0.59,14,1,75.9,ZONE-RK02
5.4,8.5,66.1,40.6,274.44,0.26,1.51,62.3,0.23,16,1,44.3,ZONE-HW05
2.0,22.5,24.2,168.0,284.54,0.6399999999999999,3.18,72.3,2.18,7,0,0.0,ZONE-HW03
4.5,37.1,55.8,51.4,287.79,0.48000000000000004,1.68,87.6,0.37,12,0,0.0,ZONE-HW04
11.9,18.0,192.6,104.5,275.08,0.35,1.3699999999999999,65.5,0.19,16,1,75.8,ZONE-HW05
42.1,109.7,155.3,178.5,260.02,0.21999999999999997,1.02,65.7,0.11,19,1,74.3,ZONE-RK03
1.4,7.9,10.2,27.5,285.19,0.6799999999999999,3.04,69.8,2.18,7,0,0.0,ZONE-HW03
7.4,16.9,105.1,30.9,275.72,0.19999999999999998,1.49,66.1,0.2,16,1,61.2,ZONE-HW05
4.9,28.4,36.0,113.4,285.22,0.49,1.48,93.7,1.1400000000000001,13,0,0.0,ZONE-HW02
1.2,131.2,205.2,15.5,294.94,0.9500000000000001,2.2,92.6,0.060000000000000005,17,1,74.5,ZONE-HW01
0.1,50.8,112.2,91.4,275.22,0.22999999999999998,1.51,65.2,0.23,16,1,69.8,ZONE-HW05
22.1,24.4,46.6,8.6,268.2,0.8,2.6399999999999997,74.2,0.35,6,0,0.0,ZONE-RK01
