location,zone_id,ward,rainfall_1h,rainfall_6h,rainfall_24h,previous_rainfall,elevation,slope,drainage_density,built_up_percentage,distance_to_waterbody,historical_flood_frequency,flooded,water_depth_cm,data_source
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.2,137.7,371.2,189.9,268.29,0.81,2.72,73.4,0.32,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.7,192.1,295.9,201.3,267.8,0.79,2.76,73.7,0.33,6,1,69.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,50.3,154.9,373.0,196.0,267.46,0.87,2.81,73.3,0.29,6,1,65.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,53.5,171.1,357.2,183.8,267.86,0.82,2.69,75.6,0.32,6,1,64.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,42.0,158.9,365.3,186.5,268.0,0.81,2.95,73.8,0.34,6,1,67.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,49.0,139.6,383.8,193.6,267.59,0.8,2.57,73.3,0.29,6,1,68.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,44.4,171.4,385.8,186.4,268.07,0.81,2.72,74.5,0.33,6,1,69.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,39.7,163.2,330.4,191.1,267.88,0.83,2.83,75.4,0.29,6,1,66.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.7,137.8,410.6,199.5,267.85,0.9,2.82,75.5,0.37,6,1,69.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,39.4,157.8,338.5,198.7,268.22,0.77,2.81,74.6,0.32,6,1,66.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,43.3,159.6,357.5,179.1,268.14,0.83,2.77,77.7,0.25,6,1,65.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.3,175.7,318.0,182.0,267.85,0.81,2.77,75.4,0.25,6,1,69.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,47.4,182.3,346.1,193.0,268.19,0.83,2.82,76.6,0.29,6,1,66.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,41.4,173.6,345.2,173.7,268.12,0.78,2.72,74.7,0.29,6,1,65.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,42.6,157.1,346.3,193.7,268.0,0.82,2.88,74.4,0.28,6,1,68.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,43.8,164.4,396.0,196.0,268.48,0.79,2.79,72.8,0.24,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,41.2,154.0,370.5,188.2,268.16,0.85,2.74,74.5,0.35,6,1,67.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,38.6,187.8,374.4,183.7,268.45,0.79,2.8,77.3,0.19,6,1,68.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,36.1,169.0,372.4,200.6,267.66,0.84,2.91,74.4,0.26,6,1,68.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,39.4,170.5,376.9,184.2,267.63,0.78,2.92,75.4,0.35,6,1,70.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.6,158.1,371.0,173.6,267.79,0.71,2.86,76.3,0.36,6,1,64.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,33.8,136.0,363.0,188.3,268.15,0.82,2.66,75.6,0.3,6,1,64.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,35.8,144.1,353.5,190.4,268.0,0.75,2.82,75.3,0.33,6,1,65.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,41.2,181.8,386.0,194.7,268.07,0.82,2.87,75.8,0.34,6,1,65.8,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,42.9,178.5,374.2,182.1,267.78,0.82,2.91,73.5,0.29,6,1,64.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.4,161.4,353.6,202.2,267.95,0.85,2.91,76.8,0.27,6,1,69.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,45.4,165.1,411.1,189.6,267.96,0.79,2.83,75.1,0.23,6,1,66.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.9,152.2,354.4,188.2,267.75,0.84,2.56,73.8,0.4,6,1,68.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,47.4,157.3,345.5,175.7,267.99,0.79,2.58,74.1,0.29,6,1,66.1,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,37.3,138.6,374.7,185.4,268.02,0.79,2.83,74.9,0.35,6,1,65.5,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,44.1,167.0,302.5,190.4,268.21,0.77,2.8,75.1,0.31,6,1,65.0,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,46.9,195.6,398.7,190.1,267.78,0.83,2.77,76.3,0.32,6,1,69.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,40.4,161.8,334.6,184.0,268.2,0.78,2.84,76.2,0.37,6,1,64.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,48.3,157.9,351.8,200.0,267.92,0.73,2.74,77.0,0.29,6,1,67.2,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,49.7,170.2,387.0,184.0,267.91,0.89,2.84,76.3,0.31,6,1,65.4,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,58.4,235.7,519.9,237.1,268.28,0.8,2.69,75.4,0.31,6,1,68.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,62.0,208.3,422.9,233.6,267.7,0.73,2.77,74.3,0.24,6,1,68.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,50.7,219.1,424.5,240.4,268.13,0.77,3.04,75.7,0.26,6,1,66.7,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,58.3,224.8,473.4,243.3,268.31,0.77,2.93,73.5,0.32,6,1,68.3,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,60.7,219.3,491.4,239.7,267.94,0.82,2.67,75.8,0.31,6,1,68.9,Roorkee & Haridwar Hydro-Meteorological Station Dataset
IIT Roorkee Campus,ZONE-RK01,Ward 04,51.7,195.0,503.6,239.3,267.97,0.77,2.83,75.9,0.3,6,1,69.6,Roorkee & Haridwar Hydro-Meteorological Station Dataset
